
Deposit,456346.0,Pending,2024-05-17T21:10:31.2913827
Withdraw,4.5634645466E10,Pending,2024-05-17T21:10:35.5732924
Buy,3077.0400390625,Completed,2024-05-17T21:12:07.6100832
Deposit,3.4534534E7,Pending,2024-05-17T21:26:07.305556
Deposit,2.0,Pending,2024-05-18T08:13:39.5255267
Withdraw,2.0,Pending,2024-05-18T08:13:41.0251602
Withdraw,2.0,Pending,2024-05-18T08:13:44.6307476
Deposit,2.0,Pending,2024-05-18T08:13:46.3868553
Deposit,12.0,Pending,2024-05-18T08:33:12.8177964
Withdraw,12.0,Pending,2024-05-18T08:33:22.7147576
Deposit,23.0,Pending,2024-05-18T09:52:46.702752
Deposit,3453546.0,Pending,2024-05-18T16:58:22.9901427
Withdraw,3.45354635355E11,Pending,2024-05-18T16:58:27.8080231
Buy,490.7200012207031,Completed,2024-05-19T14:58:25.7826703
Deposit,5675475.0,Pending,2024-05-19T15:01:12.7985238
Deposit,345646.0,Pending,2024-05-20T11:26:24.8968011
Withdraw,3.456464356E9,Pending,2024-05-20T11:26:31.5721086
BUY,3.0,COMPLETED,2024-05-20T20:57:48.9964907
SELL,5.0,COMPLETED,2024-05-20T20:58:00.1526609
